,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Number of Cores,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Expandable Memory,RAM Frequency,Cache,OS Architecture,Supported Operating System,System Architecture,RJ45,Multi Card Slot,Refresh Rate,Ethernet,Wireless WAN,Finger Print Sensor,Laptop Bag,Inbuilt 4G LTE,Memory Slots,Expandable SSD Capacity,NFC Support,Face Recognition,Lock Port,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Hardware Interface,Security Chip,Chipset,Antivirus,RPM,Sound Chip,Brightness,EMMC Storage Capacity,International Warranty,Stylus Included,S-video,Dock Port,Firewire Port,RJ11,VGA Port,Read/Write Speed,Other Accessories,Color Gamut,Recovery Options,Certification,HDD Capacity,Optane Memory,Cloud Storage,UFS Storage Capacity,id,rating,price
0,"Laptop, Power Adapter, User Guide, Warranty Documents",14IGL05,81WH007KIN|81WH007YIN,14IGL05,IdeaPad 3 Intel,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Upto 14 Hrs,,Yes,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,N4020,Intel Integrated UHD,,SSD,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 1",No,35.56 cm (14 inch),1366 x 768 Pixel,HD TN 220nits Anti-glare,Built-in Dual Speakers,Built-in dual array digital microphones,2 x 1.5W Stereo Speakers with Dolby Audio,"11ac, 2x2",v5.0,327.1 x 241 x 19.9 mm,1.5 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,,,,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,,Max Frequency Up to 2.8 GHz,1 x HDMI 1.4b,4th Gen,,,4 MB,64 bit,"Windows 10 Home 64, English",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,4.1,"₹27,690"
0,"Laptop, Power Adapter, User Guide, Warranty Documents",T14 Gen 2,20W0S0TC00,T14 Gen 2,T14 Gen 2,Black,Laptop,Processing & Multitasking,,,No,Intel,Core i7,Yes,512 GB,16 GB,DDR4,1165G7,Intel Integrated UHD,,SSD,Windows 10 Pro,,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4a)",No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Anti-glare Display,,,,"Intel Wi-Fi 6E AX210, 802.11ax 2x2 Wi-Fi",v5.2,,,Not Available,"720p, with privacy shutter, fixed focus",Backlit English Keyboard,Yes,,,,3 Year Premier,Premier,Manufacturing Defects,Physical Damage,3 Year,,2.8 GHz with Turbo Boost Upto 4.7 GHz,1x HDMI 2.0,11th Gen,,,12MB,64 bit,Windows 10 Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,NaN,"₹1,34,900"
0,"Laptop, battery, Power adapter, warranty document, user guide, USB Ethernet adapter",14-ec0036AU,4X8O2PA#ACJ,14-ec0036AU,Pavilion,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Upto 10 Hours 15 minutes,65 W Smart AC power adapter,No,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,,AMD Radeon AMD Radeon Graphics,6,SSD,Windows 11 Home,Yes,"1 x USB type C, 2 x USB type A",No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 157 ppi)",,Built-in dual array microphone,Audio by B&O,Realtek Wi-Fi CERTIFIED 6,v5.2,325 x 216.6 x 17.0mm,1.41 kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, backlit, Natural Silver keyboard",Yes,HP Imagepad with multi-touch gesture support,"Microsoft Office Home & Student 2019, HP Documentation, HP BIOS recovery, HP Smart",,1 Year onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3,4.0,1 x HDMI,,16,,8,64 bit,Windows 11 Home,64,,,,,,No,,,,,No,No,,,DDR4,,PCIe NVMe,,,McAfee LiveSafe,,,,,,,,No,,,,,,,,,,,,,574.0,4.4,"₹49,990"
0,"Laptop, battery, adapter, cables and user manuals",3511,D560579WIN9S,Inspiron,,Platinum Silver,Laptop,"Everyday Use, Entertainment, Gaming, Performance, Processing & Multitasking, Travel & Business",Upto 6 hours,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,,NVIDIA GeForce DDR5,,SSD,Windows 10 Home,,,No,39.62 cm (15.6 inch),1920 x 1080$$pixels pixel,,,,,,v5.0,,,Not Available,,,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,,,,,11th Gen,,,,,,,,,,,,,,,,,,,,,DDR5,2 GB,,,,,,,,,,,,,,,,,,,,,,,,,575.0,NaN,"₹72,480"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fc0154AU,9D3M8PA,15-fc0154AU,15 (2024),Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,7320U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek Wi-Fi 6 (1x1),v5.3,359.8 x 236 x 18.6 mm,1.59 Kg,Not Available,HP True Vision 1080p FHD camera,"Full-size, soft grey keyboard with numeric keypad",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Turbo Frequency 4.1 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,4.2,"₹33,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s- eq2144au,50M63PA#ACJ,15s- eq2144au,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,5500U,AMD Radeon AMD,6,SSD,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,Full-size Island-style Natural Silver Keyboard with Numeric Keypad,No,,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart","41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 cell,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,1x HDMI 1.4b,,,,8,64 bit,Windows 11 Home,,,1 x card reader,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,4.2,"₹37,999"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IMH9,83D2001GIN,14IMH9,IdeaPad Pro 5 2.8K OLED AI PC,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,Integrated 84Wh,Yes,Intel,Core Ultra 9,Yes,1 TB,32 GB,LPDDR5X,185H,Intel Integrated Arc Graphics,,SSD,Windows 11 Home,,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 1 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort 1.4, 1 x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 1.4",No,35.56 cm (14 Inch),2880 x 1800 Pixel,"2.8K, OLED, 400nits Glossy, 100% DCI-P3, 120Hz, Eyesafe, DisplayHDR True Black 500",Yes,Yes,,"Wi-Fi 6E, 11ax 2x2",v5.3,312 x 221 x 15.99 mm,1.46 Kg,Not Available,"Full HD 1080p + IR with Privacy Shutter, ToF Sensor","Backlit, English",Yes,,,,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,"please call the Lenovo Customer Support - 
Tablets : 1800-208-7555 / Idea/Yoga/Legion : 1800 -419 -7555 / Commercial/Think : 1800-419-4666 / Whatsapp Chat -Legion/Yoga/IdeaPad &Tablets :+91 80 67916666 Think Series :+91 80 67916677",Manufacturing Defects,Physical Damage,,Integrated 84Wh,Max Turbo up to 5.1GHz,1 x HDMI 2.1,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.0,4.4,"₹1,07,690"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-52,UN.431SI.359,AL15-52,Aspire Lite,Steel Grey,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Core i3,Yes,512 GB,16 GB,DDR4,1215U,Intel Integrated UHD,,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,Full HD,Yes,Yes,,Wi-Fi 6,Yes,360.40 x 239.30 x 19.9 mm,1.59 Kg,Not Available,"HD webcam with 1280 x 720 resolution, 720p HD audio/video recording","100-/101-/104-key keyboard with independent numeric keypad, international language support",,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,up to 4.40 GHz,1x HDMI Port,12th Gen,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.0,4.1,"₹31,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fy5002TU,6P132PA#ACJ,15s-fy5002TU,Backlit,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,Intel Integrated Integrated,10,SSD,Windows 11 Home,Yes,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358 x 242 x 17.9,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, backlit natural silver keyboard with numeric keypad",Yes,,,41 Wh Li-ion Battery,1 Year Onsite Warranty,"Contact : Ph : 18002587170, 18602583079, WhatsApp Helpline - +17864826615 / Mail : Self Service warranty lookup - support.hp.com/us-en/checkwarranty",Manufacturing Defects,Physical Damage,1 Year,3 Cell,3.30GHz Upto 4.40GHz,1 x HDMI 1.4b,12th Gen,16 GB,,12 MB,64 bit,Windows 11 Home,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,4.2,"₹49,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IGL7,82V6009LIN|82V6009TIN,14IGL7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,,45 W,Yes,Intel,Celeron Dual Core,Yes,512 GB,8 GB,DDR4,N4020,Intel Integrated UHD,,SSD,Windows 11 Home,,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 220nits Anti-glare",Yes,Yes,,11ac 2x2,v5.1,325.3 x 216.5 x 17.9 mm,1.3 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",,,,,1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,1 x HDMI 1.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0,4.1,"₹23,990"
0,"Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1617IN / GF63 Thin 10SC-610IN,9S7-16R512-610,GF63 Thin 10SCXR-1617IN / GF63 Thin 10SC-610IN,GF63 Thin,Black,Gaming Laptop,Gaming,,120W Adapter,No,Intel,Core i7,Yes,256 GB,8 GB,DDR4,10750H,NVIDIA GeForce GTX 1650 Max Q,,Hybrid,Windows 10 Home,,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),Single Backlit Keyboard (Red),Yes,Touchpad,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3","3-Cell, 51 Whr Battery",2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",,3,2.6 GHz with 5 GHz Max Turbo Boost Frequency,1 x HDMI Port,10th Gen,,,12,64 bit,,64,Yes,,60 Hz,Yes,,,,,,,,,,,GDDR6,4 GB,NVMe PCIe,,,,,Realtek ALC 269,,,,,,,,,,,,,,,1 TB,,,,582.0,4.3,"₹76,249"
0,"Laptop, Battery, Adapter, Cables and User Manuals",Inspiron 3525,D560764WIN9S,Inspiron 3525,Inspiron,Platinum Silver,Thin and Light Laptop,Everyday Use,Upto 7 hours,,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,5425U,AMD Radeon AMD,4,SSD,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port, 1 x USB 3.2 Gen 1 Type-C Port, 1 x USB 2.0 Port",No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, WVAAG Narrow Border, Refresh Rate: 120 Hz, Brightness: 250 nits",Yes,Yes,Waves Maxx Audio Pro,WiFi 802.11ac 1x1,Yes,358 x 235 x 16.9 mm,1.68 kg,Not Available,HD,Standard Keyboard,No,Touchpad,Microsoft Office Home & Student 2021,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Physical Damage,1 Year,3 Cell,"Base Frequency 2.7 GHz, Max Turbo Frequency at 4.1 GHz",1 x HDMI 1.4,,16,3200 MHz,8 MB,64 bit,Windows 11 Home,64 bit,,1 x SD Card 3.0,,Available,,,,,2,,,,Kensington Lock Port,,,,M.2 SATA,,,McAfee,,,,,,,,,,,,,,,,,,,,,583.0,3.9,"₹32,990"
0,"1 Notebook, 1 65W Charger, 1 Data Cable(USB-C to C, 1.8m), 1 Quick Start Guide, 1 S-Pen",NP750QGK-KG3IN / NP750QGK-LG3IN,NP750QGK-KG3IN / NP750QGK-LG3IN,NP750QGK-KG3IN / NP750QGK-LG3IN,Galaxy Book4 360 Evo,Gray,2 in 1 Laptop,"Everyday Use, Entertainment, Performance, Processing & Multitasking",Upto 8.7 Hours,65W AC Adapter,Yes,Intel,Core 7,Yes,1 TB,16 GB,LPDDR5,150U,Intel Integrated Iris Xe,10,SSD,Windows 11 Home,Yes,"2 x TBT4, 1 x USB Type A",Yes,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD Super AMOLED Display,"HD Audio Codec, Dolby Atmos, Realtek High Definition Audio, Discrete Stereo Speakers",Internal Digital Array MIC,Dolby Atmos Speakers,802.11a/b/g/n/ac/ax,v5.3,355.4 x 13.7 x 228mm,1.46 kg,Not Available,2 Megapixel,QWERTY,Yes,Touchpad with Multi Finger Gesture,MS Office Home and Student 2021,,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,1 Year,4 Cell Lithium Ion Battery,1.8GHz Upto 5.4GHz,1 x HDMI,,Upto 32 GB,6000 MHz,12 MB,64 bit,Windows 11 Home,64 bit,No,Yes,,,,Yes,No,,,,,No,,,,,HDMI,Trusted Platform Module (TPM),Intel Core i7,,,Realtek High Definition Audio,,,,Yes,,,,No,No,,,,,,,,,,584.0,4.9,"₹1,25,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",A515-58M-56E0,NX.KHGSI.002,A515-58M,Aspire 5 15,Steel Gray,Thin and Light Laptop,Processing & Multitasking,,65 W AC adapter,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,1335U,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"1 x USB Type-C / Thunderbolt 4 port, 1 x USB port with power-off charging, 1 x USB 3.2 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,Yes,,,Wi-Fi 6E,v5.1,,1.75 Kg,Not Available,T-Type USB FHD camera with 1920 x 1080 resolution and 1080p HD video at 60 fps with Temporal Noise Reduction,"99-/100-/103-key Acer backlit keyboard with international language support, with indicators of CapsLock and F4/Microphone mute",Yes,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3 Cell,Max Turbo Frequency up to 4.6 GHz,,13th Gen,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,4.3,"₹51,500"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-eq2305AU,9D3N8PA,15s-eq2305AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Up to 9 hours and 30 minutes,,Yes,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,5500U,AMD Radeon AMD,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",,,,,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Frequency Upt o 4.00 GHz,1 x HDMI 1.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.0,4.3,"₹40,599"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",A715-79G,UN.34NSI.002,A715-79G,Aspire 7,Black,Gaming Laptop,Gaming,,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,13420H,NVIDIA GeForce RTX 2050,,SSD,Windows 11 Home,,"1 x USB 3.2 Type-A port, 2 x USB 3.2 Type-C ports, 1 x USB 2.0 Type-A port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,Yes,,Intel Wireless Wi-Fi 6 AX101,v5.2,359.5 x 238 x 22.7 mm,1.99 Kg,Not Available,1.0 M HD Video camera,Multi languages Multi-Color illuminated full size keyboard with numeric pad,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,1.5 GHz upto Max Turbo Frequency 4.6 GHz,,13th Gen,,,,,,,,,,,,,,,,,,,,,GDDR6,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,587.0,4.3,"₹53,990"
0,"1 Notebook, 1 65W Charger, 1 Data Cable(USB-C to C, 1.8m), 1 Quick Start Guide",NP940XGK-KG2IN / NP940XGK-LG2IN,NP940XGK-KG2IN / NP940XGK-LG2IN,NP940XGK-KG2IN / NP940XGK-LG2IN,Galaxy Book4 Pro Evo AI PC,Moonstone Gray,Thin and Light Laptop,"Everyday Use, Entertainment, Performance, Processing & Multitasking",Upto 7.5 Hours,65W AC Adapter,Yes,Intel,Core Ultra 7,Yes,512 GB,16 GB,LPDDR5X,155H,Intel Integrated Arc,16,SSD,Windows 11 Home,Yes,"2 x TBT4, 1 x USB Type A",Yes,35.56 cm (14 inch),2880 x 1800 Pixel,WQXGA+ Dynamic AMOLED 2X Display,"HD Audio Codec, Dolby Atmos, Realtek High Definition Audio, Discrete Stereo Speakers, AKG Quad Speakers",Internal Digital Array MIC,Dolby Atmos and AKG Quad Speakers,802.11a/b/g/n/ac/ax,v5.3,312.3 x 11.6 x 223.8mm,1.23 kg,Not Available,2 Megapixel,QWERTY,Yes,Touchpad with Multi Finger Gesture,MS Office Home and Student 2021,,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,1 Year,4 Cell Lithium Ion Battery,Upto 4.8GHz,1 x HDMI,,Upto 32 GB,7467 MHz,24 MB,64 bit,Windows 11 Home,64 bit,No,Yes,,,,Yes,No,,,,,No,,,,,HDMI,Trusted Platform Module (TPM),Intel Core Ultra 7,,,Realtek High Definition Audio,,,,No,,,,No,No,,,,,,,,,,588.0,4.6,"₹1,14,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fd0220TU,9D3N0PA#ACJ,15-fd0220TU,,Natural Silver,Thin and Light Laptop,Everyday Use,,,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1334U,Intel Integrated Iris Xe,10,SSD,Windows 11 Home,Yes,"1 x USB Type-C 5 Gbps Signaling Rate, 2 x USB Type A 5 Gbps Signaling Rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, Micro Edge, Anti-glare, Brightness: 250 Nits, 141 PPI, Color Gamut: 45% NTSC",Dual Speakers,Integrated Dual Array Digital Microphones,,Realtek Wi-Fi 6 (2x2),v5.3,358 x 242 x 19.9 mm,1.6 kg,Not Available,HP True Vision 1080p FHD Camera with Temporal Noise Reduction,"Full Size, Backlit Soft Grey Keyboard with Numeric Keypad",,HP Imagepad,Microsoft Office Home & Student 2021,Support Battery Fast Charge,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,"3 Cell, 41 Wh Li-ion",Upto 4.6 GHz,1 x HDMI 1.4b,13th Gen,16 GB,3200 MHz,12 MB,64 bit,Windows 11,64 Bit,,,,,,,,,2,,,,,,,,PCIe NVMe,"Energy Star Certified, EPEAT Silver Registered",,,,,,,,,,,,,,,,,,,,,,,589.0,3.9,"₹53,999"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq5330TU|15-fd0111TU,9D3P0PA#ACJ|A47CYPA,15s-fq5330TU,,Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate;",No,39.62 cm (15.6 inch),1920 X 1080 Pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",Yes,Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,358.5 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"Full-size, backlit, natural silver keyboard with numeric keypad",,,,,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,,,Max Frequency Up to 4.4 GHz,1 x HDMI 1.4b,12th Gen,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,4.2,"₹50,490"
0,1 Unit Laptop,15W_LAP02,15W_LAP02,AXL Vayu Book,,Dark Grey,Thin and Light Laptop,"Entertainment, Everyday Use, Learning, Performance, Processing & Multitasking, Travel & Business",5-8 hour,,No,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,,NA,,SSD,Windows 11 Home,,,No,39.62 cm (15.6 inch),1920*1080 pixel,,,,,,yes,,,Not Available,,,,,,,1 Year,On site,Manufacturing defects,Physical damage,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,,,,,,,,,,,,,,,,,,,,,,,,591.0,3.6,"₹16,990"
0,"Laptop, Power Adaptor, User Guide, Warranty Documents",TMP214-53,UN.VTHSI.16R,TMP214-53,TravelMate P2,Black,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Core i7,Yes,512 GB,16 GB,DDR4,1165G7,Intel Integrated Iris Xe,,SSD,Windows 11 Home,,"2 x USB 3.2 ports, 1 x USB 3.2 Gen 1 port with power-off, 1 x USB Type-C/ Thunderbolt 4 port",No,35.56 cm (14 inch),1920 X 1080 Pixel,Full HD,Yes,Yes,,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,328 x 236 x 19.9 mm,1.6 Kg,Not Available,HD webcam,"87-/88-/91-key FineTip keyboard with Home, End, Pg Up, Pg Dn keys, international language support, power button",Yes,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical damage,,3 Cell,2.8 GHz with Turbo Boost Upto 4.7 GHz,,11th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.0,3.8,"₹42,990"
0,"Laptop, Power Adapter, Warranty Documents",NU14U3INT54BN-BK,NU14U3INT54BN-BK,IC525,Neo,Black,Thin and Light Laptop,"Entertainment, Everyday Use, Learning, Performance, Travel & Business",UPTO 8 Hrs,,No,Intel,Core i3,Yes,256 GB,8 GB,DDR4,Neo,Intel Integrated Intel® UHD Graphics,,SSD,Windows 11 Home,Yes,"USB3.0 x 2,Only data Type-c x1, ? 3.5mm standard headphone jack",No,35.81 cm (14.1 inch),1920 x 1080 pixel,TFT-LCD,1.3W speaker x 2,Digital Microphone,Intel® Smart Sound Technology,,4.2,,1.3 kg,Not Available,?2 MP,,No,Multi-Touch Trackpad,Pre loaded windows APP,,1 Year Domestic Warranty,Onsite,Battery & Adaptor warranty up to 6 months,Physical Damage,12 Months,,1.1 GHz,Mini HDMI,10th Gen,64 GB,,,,Windows 11 Home,,No,,,,,No,No,No,Yes,NA,,No,NA,,DDR4,,,,Intel,,,Intel® High Definition Audio,,,,No,,,,,,NA,NA,,Yes,,,,,,593.0,4.2,"₹21,990"
